hash,class_changed,method_changed,statement_changed,total_revision
"Diff(project=jcodec/jcodec, old_sha=b54c5b282d14bd87e0deca736a033183a2d36e1d, new_sha=c59d12159a9e9eb3b39e07f6478f7595f62ac76d, old_path=src/main/java/org/jcodec/common/io/BitWriter.java, new_path=src/main/java/org/jcodec/common/io/BitWriter.java, old_lines=[72], new_lines=[73], category=ONE_TO_ONE)",1,0,0,341
"Diff(project=jcodec/jcodec, old_sha=b54c5b282d14bd87e0deca736a033183a2d36e1d, new_sha=c59d12159a9e9eb3b39e07f6478f7595f62ac76d, old_path=src/main/java/org/jcodec/containers/mkv/boxes/MkvBlock.java, new_path=src/main/java/org/jcodec/containers/mkv/boxes/MkvBlock.java, old_lines=[98], new_lines=[98], category=ONE_TO_ONE)",7,1,1,444
"Diff(project=jcodec/jcodec, old_sha=4a08a46f9cd197d372d0c5b0ef563465d72ec237, new_sha=32db23055f989956754f51e4842491353c7f40dc, old_path=src/main/java/org/jcodec/movtool/streaming/tracks/Mpeg2AVCTrack.java, new_path=src/main/java/org/jcodec/movtool/streaming/tracks/Mpeg2AVCTrack.java, old_lines=[78], new_lines=[78], category=ONE_TO_ONE)",10,3,3,471
"Diff(project=jcodec/jcodec, old_sha=4a08a46f9cd197d372d0c5b0ef563465d72ec237, new_sha=32db23055f989956754f51e4842491353c7f40dc, old_path=src/main/java/org/jcodec/movtool/streaming/tracks/avc/AVCClipTrack.java, new_path=src/main/java/org/jcodec/movtool/streaming/tracks/avc/AVCClipTrack.java, old_lines=[89], new_lines=[89], category=ONE_TO_ONE)",14,4,4,487
"Diff(project=jcodec/jcodec, old_sha=f587021210e4bd0c7c4d70be6ff90f922bb7d7f6, new_sha=4c8d85ee7b876e7b0ac80027ce6aa689ae4205f3, old_path=src/main/java/net/sourceforge/jaad/aac/sbr/SBR.java, new_path=src/main/java/net/sourceforge/jaad/aac/sbr/SBR.java, old_lines=[1005], new_lines=[1007], category=ONE_TO_ONE)",0,0,0,100
"Diff(project=jcodec/jcodec, old_sha=f587021210e4bd0c7c4d70be6ff90f922bb7d7f6, new_sha=4c8d85ee7b876e7b0ac80027ce6aa689ae4205f3, old_path=src/main/java/net/sourceforge/jaad/aac/sbr/SBR.java, new_path=src/main/java/net/sourceforge/jaad/aac/sbr/SBR.java, old_lines=[1009], new_lines=[1011], category=ONE_TO_ONE)",0,0,0,100
"Diff(project=jcodec/jcodec, old_sha=f587021210e4bd0c7c4d70be6ff90f922bb7d7f6, new_sha=4c8d85ee7b876e7b0ac80027ce6aa689ae4205f3, old_path=src/main/java/net/sourceforge/jaad/aac/sbr/SBR.java, new_path=src/main/java/net/sourceforge/jaad/aac/sbr/SBR.java, old_lines=[1011], new_lines=[1013], category=ONE_TO_ONE)",0,0,0,100
"Diff(project=jcodec/jcodec, old_sha=f587021210e4bd0c7c4d70be6ff90f922bb7d7f6, new_sha=4c8d85ee7b876e7b0ac80027ce6aa689ae4205f3, old_path=src/main/java/net/sourceforge/jaad/aac/sbr/SBR.java, new_path=src/main/java/net/sourceforge/jaad/aac/sbr/SBR.java, old_lines=[1048], new_lines=[1050], category=ONE_TO_ONE)",0,0,0,100
"Diff(project=jcodec/jcodec, old_sha=f587021210e4bd0c7c4d70be6ff90f922bb7d7f6, new_sha=4c8d85ee7b876e7b0ac80027ce6aa689ae4205f3, old_path=src/main/java/net/sourceforge/jaad/aac/sbr/SBR.java, new_path=src/main/java/net/sourceforge/jaad/aac/sbr/SBR.java, old_lines=[1050], new_lines=[1052], category=ONE_TO_ONE)",0,0,0,100
"Diff(project=jcodec/jcodec, old_sha=b54c5b282d14bd87e0deca736a033183a2d36e1d, new_sha=c59d12159a9e9eb3b39e07f6478f7595f62ac76d, old_path=src/main/java/org/jcodec/codecs/h264/encode/MBEncoderI16x16.java, new_path=src/main/java/org/jcodec/codecs/h264/encode/MBEncoderI16x16.java, old_lines=[282], new_lines=[282], category=ONE_TO_ONE)",5,2,2,434
"Diff(project=jcodec/jcodec, old_sha=1870c75d9a685ba62c55c15b15dd30240af7fef7, new_sha=5913e3213bd3a0f5bb8ea1ff3a5844e8bbfbebd6, old_path=src/main/java/org/jcodec/codecs/prores/ProresEncoder.java, new_path=src/main/java/org/jcodec/codecs/prores/ProresEncoder.java, old_lines=[214], new_lines=[215], category=ONE_TO_ONE)",0,1,1,240
"Diff(project=jcodec/jcodec, old_sha=9e309038c8a0cead8fe29999b1e39011d3fbe45b, new_sha=6d5c50660881ab08f30e3046853e443645260ea0, old_path=src/main/java/org/jcodec/codecs/h264/decode/MBlockSkipDecoder.java, new_path=src/main/java/org/jcodec/codecs/h264/decode/MBlockSkipDecoder.java, old_lines=[76], new_lines=[76], category=ONE_TO_ONE)",7,5,5,402
"Diff(project=jcodec/jcodec, old_sha=eba7bbc47413af29ffd48766b14bd2409cb21aec, new_sha=f921d81abb9df40815401368c70ecfd1a7517f6f, old_path=src/main/java/org/jcodec/codecs/h264/decode/BitstreamParser.java, new_path=src/main/java/org/jcodec/codecs/h264/decode/BitstreamParser.java, old_lines=[121], new_lines=[136], category=ONE_TO_ONE)",4,2,2,402
"Diff(project=jcodec/jcodec, old_sha=47d1b4633327641f46f2ac30716052cdf8d21dcb, new_sha=50522148bb6e82e2b6437bb10e533a17f8247320, old_path=src/main/java/org/jcodec/codecs/h264/H264Decoder.java, new_path=src/main/java/org/jcodec/codecs/h264/H264Decoder.java, old_lines=[360], new_lines=[367], category=ONE_TO_ONE)",2,0,0,264
"Diff(project=jcodec/jcodec, old_sha=665c20cb6813c041a7411a4bba5435cfa59e2e54, new_sha=6ad0b21222becf19b9465346423eb435dfc32f31, old_path=src/main/java/org/jcodec/codecs/vpx/FilterUtil.java, new_path=src/main/java/org/jcodec/codecs/vpx/FilterUtil.java, old_lines=[158], new_lines=[162], category=ONE_TO_ONE)",0,0,0,5
"Diff(project=jcodec/jcodec, old_sha=665c20cb6813c041a7411a4bba5435cfa59e2e54, new_sha=6ad0b21222becf19b9465346423eb435dfc32f31, old_path=src/main/java/org/jcodec/codecs/vpx/FilterUtil.java, new_path=src/main/java/org/jcodec/codecs/vpx/FilterUtil.java, old_lines=[163], new_lines=[167], category=ONE_TO_ONE)",0,0,0,5
"Diff(project=ixa-ehu/ixa-pipe-tok, old_sha=fb40594882309d358309baada9b23f12280fe4fd, new_sha=529eec89d79a5a5886ce088e7c1e44686b09ce0e, old_path=src/main/java/ixa/pipe/tok/Annotate.java, new_path=src/main/java/ixa/pipe/tok/Annotate.java, old_lines=[65], new_lines=[64], category=ONE_TO_ONE)",5,4,3,9
"Diff(project=ixa-ehu/ixa-pipe-tok, old_sha=00ad3e8ca5e6a414cd4ceea2973e917062e0ebb3, new_sha=aca93b900841d7c81428bf973e93cc08ce6c5b3a, old_path=src/main/java/eus/ixa/ixa/pipe/tok/Normalizer.java, new_path=src/main/java/eus/ixa/ixa/pipe/tok/Normalizer.java, old_lines=[112], new_lines=[148], category=ONE_TO_ONE)",4,2,1,22
